nm;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
349;2,724;2,77191;2,75757;2,78076;2,81006;2,92938;2,97485;3,03833;3,10852;3,10608;3,50342;3,45459;3,64441;3,82568;3,82141;3,82477;0,0518799;3,39355;0,10437
350;2,68768;2,74475;2,7002;2,74048;2,83173;2,86621;2,91718;2,99194;3,09601;3,09235;3,51471;3,50525;3,60931;3,83179;3,88733;3,93646;0,0500488;3,39905;0,104065
351;2,67181;2,71301;2,64679;2,68036;2,7655;2,84698;2,90375;2,95349;3,05695;3,04169;3,49243;3,49548;3,66852;3,84644;3,86414;3,92456;0,0527954;3,38074;0,112915
352;2,62085;2,66785;2,5882;2,65289;2,70905;2,82532;2,8775;2,90833;3,01147;3,04535;3,50739;3,44391;3,64899;3,87085;3,84766;3,89954;0,0515747;3,46069;0,115967
353;2,56561;2,60315;2,61017;2,5946;2,65137;2,71545;2,80609;2,87262;2,99255;3,02032;3,44757;3,479;3,6319;3,8028;3,8327;3,90106;0,0500488;3,45306;0,116272
354;2,54486;2,56073;2,56927;2,54395;2,64587;2,7066;2,78473;2,85004;2,92358;2,98676;3,45673;3,47015;3,61298;3,83942;3,89832;3,89465;0,0521851;3,46497;0,122986
355;2,48871;2,52106;2,49512;2,5473;2,57446;2,68463;2,71362;2,75604;2,91931;2,92664;3,43353;3,41644;3,60413;3,79822;3,79486;3,86749;0,0512695;3,45978;0,111694
356;2,42645;2,45026;2,45148;2,48352;2,56744;2,64008;2,69562;2,74628;2,83447;2,91199;3,38379;3,42926;3,57239;3,78479;3,85376;3,86078;0,0454712;3,47565;0,112
357;2,36298;2,41943;2,42798;2,41028;2,46033;2,55371;2,63;2,67548;2,78351;2,80182;3,32886;3,39355;3,58337;3,78937;3,80493;3,82874;0,0494385;3,43933;0,117188
358;2,33643;2,341;2,35504;2,38586;2,43683;2,50916;2,55829;2,6123;2,73743;2,76642;3,27118;3,36639;3,53912;3,75366;3,80371;3,86688;0,050354;3,41644;0,109558
359;2,27417;2,27936;2,2702;2,27386;2,37335;2,42126;2,49756;2,5412;2,65594;2,70477;3,21198;3,31451;3,47992;3,69354;3,69324;3,74969;0,0494385;3,39935;0,111389
360;2,16064;2,22687;2,20001;2,25555;2,30713;2,3584;2,41608;2,47589;2,57294;2,65228;3,13354;3,23151;3,4259;3,64624;3,63892;3,68958;0,0457764;3,34167;0,10376
361;2,0993;2,13898;2,12158;2,13318;2,19086;2,22412;2,3291;2,36328;2,50702;2,55859;3,04138;3,12744;3,30536;3,52844;3,54706;3,54645;0,0494385;3,28156;0,103455
362;2,03278;2,05353;2,052;2,05902;2,09229;2,23083;2,25586;2,31171;2,43774;2,48138;2,94525;3,07404;3,2135;3,43842;3,49487;3,52142;0,0460815;3,20068;0,112915
